ID_Appel,Date_Appel,Agent,Duree_Traitement_Sec,Statut,Note_Satisfaction,Montant_Facture_EUR,Canal,Sujet,Appel_Traite,Appel_Repris,Conformite,NPS,Reclamation
APP-10023,20/12/2023,Sophie Nguyen,347,Résolu,3.0,43.87,TEL,Demande d'information,Non,Non,Non conforme,,Non
APP-10024,08/05/2023,Karim Boudiaf,259,Non résolu,,42.11,telephone,Souscription contrat,,Non,Non conforme,1.0,Non
APP-10025,20/06/2023,Léa Girard,319,Non résolu,4.0,11.27,Téléphone,Relevé compteur,Non,Non,Conforme,,Non
APP-10026,06/06/2023,Julien Marchand,149,Résolu,4.0,18.04,TEL,Demande d'information,Oui,Non,,10.0,Non
APP-10027,01/03/2023,Fatima Zahra,97,Résolu,2.0,38.66,TEL,Relevé compteur,Oui,Non,Conforme,,Non
APP-10028,29/12/2023,Léa Girard,-118,Résolu,5.0,28.08,telephone,Demande d'information,Oui,Non,Non conforme,,Non
APP-10029,05/03/2023,Fatima Zahra,160,Résolu,5.0,13.21,telephone,Relevé compteur,Oui,Non,Conforme,7.0,Non
APP-10030,27/07/2023,Amandine Faure,292,Résolu,5.0,34.97,TEL,Changement d'offre,Oui,Non,Conforme,,Non
APP-10031,28/03/2023,Karim Boudiaf,319,Résolu,2.0,36.54,telephone,Réclamation,Oui,Non,Conforme,8.0,Non
APP-10032,07/02/2023,Nicolas Roux,221,Résolu,5.0,12.29,telephone,Souscription contrat,Oui,Oui,Conforme,,Non
APP-10033,06/08/2023,Julien Marchand,183,Résolu,2.0,39.93,Téléphone,Changement d'offre,Oui,Non,Conforme,,Non
APP-10034,15/08/2023,Yanis Belkacem,104,Résolu,,10.35,telephone,Changement d'offre,Oui,Non,Non conforme,8.0,Non
APP-10035,06/09/2023,Julien Marchand,338,Résolu,4.0,19.51,Chat,Panne compteur,Oui,Non,Conforme,,Non
APP-10036,28/07/2023,Thomas Petit,346,Résolu,4.0,31.59,Chat,Facturation,Non,Non,Conforme,0.0,Non
APP-10037,19/07/2023,Léa Girard,159,Non résolu,,40.83,TEL,Relevé compteur,Oui,Non,Conforme,,Non
APP-10038,28/08/2023,Sophie Nguyen,146,Non résolu,5.0,34.39,Téléphone,Relevé compteur,Oui,Non,Conforme,9.0,Non
APP-10039,17/06/2023,Thomas Petit,233,Non résolu,5.0,36.15,Téléphone,Changement d'offre,Oui,Non,,8.0,Non
APP-10040,30/11/2023,Marie Lefevre,374,Résolu,1.0,26.27,telephone,Changement d'offre,Oui,Non,Conforme,,Non
APP-10041,27/03/2023,Yanis Belkacem,270,Résolu,5.0,27.34,Téléphone,Déménagement,Oui,Non,Conforme,,Non
APP-10042,12/04/2023,Karim Boudiaf,204,Résolu,5.0,11.99,Chat,Panne compteur,Oui,Non,Conforme,10.0,Non
APP-10043,05/02/2023,Amandine Faure,234,Résolu,4.0,9.16,TEL,Changement d'offre,Oui,Non,Conforme,,Non
APP-10044,03/10/2023,Nicolas Roux,112,Résolu,4.0,26.82,Téléphone,Réclamation,Non,Non,Conforme,,Non
APP-10045,15/01/2023,Nicolas Roux,333,Résolu,5.0,41.58,Chat,Réclamation,Oui,Non,Conforme,8.0,Non
APP-10046,12/10/2023,Julien Marchand,191,Résolu,5.0,35.96,telephone,Relevé compteur,Oui,Non,Conforme,10.0,Non
APP-10047,06/08/2023,Amandine Faure,105,Résolu,3.0,16.47,telephone,Demande d'information,Oui,Non,Conforme,7.0,Non
APP-10048,05/09/2023,Fatima Zahra,220,Résolu,4.0,13.97,telephone,Réclamation,Oui,Non,Conforme,10.0,Non
APP-10049,28/01/2023,Amandine Faure,201,Résolu,5.0,42.4,Téléphone,Déménagement,Oui,Non,Conforme,,Non
APP-10050,02/09/2023,Karim Boudiaf,285,Résolu,5.0,40.24,telephone,Déménagement,Non,Oui,Conforme,,Non
APP-10051,02/11/2023,Yanis Belkacem,344,Résolu,4.0,37.74,Email,Réclamation,Oui,Oui,,5.0,Non
APP-10052,17/11/2023,Julien Marchand,363,Résolu,5.0,41.16,Email,Changement d'offre,Oui,Non,Conforme,8.0,Non
APP-10053,21/08/2023,Karim Boudiaf,255,Non résolu,5.0,19.77,telephone,Relevé compteur,Oui,Non,Conforme,8.0,Non
APP-10054,31/01/2023,Sophie Nguyen,216,Non résolu,,23.8,Email,Réclamation,Oui,Non,Conforme,10.0,Oui
APP-10055,21/01/2023,Léa Girard,206,Résolu,3.0,38.27,Chat,Déménagement,Non,Non,Conforme,8.0,Non
APP-10056,31/03/2023,Nicolas Roux,1,Résolu,,16.22,Email,Panne compteur,Oui,Non,Conforme,5.0,Non
APP-10057,30/07/2023,Nicolas Roux,271,Non résolu,5.0,12.44,TEL,Réclamation,Oui,Non,Conforme,10.0,Non
APP-10058,03/12/2023,Amandine Faure,280,Résolu,5.0,19.96,Email,Facturation,Oui,Non,Non conforme,9.0,Non
APP-10059,04/03/2023,Marie Lefevre,225,Résolu,3.0,27.2,Chat,Relevé compteur,Oui,Non,Non conforme,10.0,Non
APP-10060,20/03/2023,Nicolas Roux,155,Non résolu,4.0,43.96,Email,Résiliation,Oui,Oui,Conforme,,Non
APP-10061,11/03/2023,Karim Boudiaf,366,Résolu,,43.61,Téléphone,Réclamation,Oui,Non,Conforme,,Non
APP-10062,17/08/2023,Amandine Faure,238,Non résolu,4.0,19.13,telephone,Résiliation,Oui,Non,Conforme,3.0,Non
APP-10063,28/12/2023,Léa Girard,89,Non résolu,,18.54,Téléphone,Souscription contrat,Oui,Non,Non conforme,,Non
APP-10064,27/09/2023,Nicolas Roux,249,Non résolu,,26.6,TEL,Demande d'information,Oui,Non,Conforme,8.0,Non
APP-10065,01/10/2023,Léa Girard,201,Non résolu,4.0,9.9,Chat,Panne compteur,Oui,Non,Conforme,7.0,Non
APP-10066,20/02/2023,Karim Boudiaf,282,Non résolu,1.0,16.86,TEL,Demande d'information,Oui,Oui,Conforme,,Non
APP-10067,29/03/2023,Sophie Nguyen,216,Résolu,3.0,13.36,telephone,Résiliation,Oui,Non,Conforme,0.0,Non
APP-10068,28/05/2023,Amandine Faure,270,Résolu,5.0,16.96,Email,Réclamation,Oui,Non,,,Non
APP-10069,15/07/2023,Yanis Belkacem,239,Résolu,1.0,32.87,Email,Réclamation,Oui,Non,Conforme,,Non
APP-10070,12/09/2023,Fatima Zahra,170,Non résolu,3.0,34.94,TEL,Souscription contrat,Oui,Non,Conforme,8.0,Non
APP-10071,24/10/2023,Thomas Petit,309,Résolu,5.0,21.61,telephone,Litige paiement,Non,Non,Conforme,8.0,Non
APP-10072,04/09/2023,Fatima Zahra,366,Résolu,,27.82,telephone,Relevé compteur,Non,Non,Conforme,,Oui
APP-10073,02/10/2023,Karim Boudiaf,365,Résolu,5.0,11.34,TEL,Panne compteur,Oui,Non,Conforme,,Non
APP-10074,09/11/2023,Julien Marchand,195,Résolu,5.0,14.9,Téléphone,Souscription contrat,Oui,Oui,,6.0,Non
APP-10075,03/10/2023,Sophie Nguyen,323,Non résolu,5.0,9.51,Chat,Souscription contrat,Non,Non,Non conforme,,Non
APP-10076,24/05/2023,Marie Lefevre,393,Résolu,3.0,8.61,TEL,Litige paiement,Non,Non,Conforme,8.0,Non
APP-10077,21/08/2023,Karim Boudiaf,318,Résolu,1.0,26.95,telephone,Souscription contrat,Oui,Non,Non conforme,,Non
APP-10078,30/04/2023,Thomas Petit,298,Résolu,4.0,14.45,telephone,Litige paiement,Oui,Non,Conforme,1.0,Oui
APP-10079,02/05/2023,Yanis Belkacem,129,Résolu,5.0,33.56,Téléphone,Changement d'offre,Oui,Non,Conforme,9.0,Non
APP-10080,11/11/2023,Marie Lefevre,295,Résolu,4.0,13.09,Téléphone,Facturation,,Non,Conforme,5.0,Non
APP-10081,16/08/2023,Karim Boudiaf,225,Résolu,3.0,20.62,Chat,Litige paiement,Oui,Non,Conforme,8.0,Non
APP-10082,09/08/2023,Karim Boudiaf,207,Résolu,,32.42,telephone,Relevé compteur,Oui,Non,Conforme,9.0,Non
APP-10083,18/02/2023,Thomas Petit,290,Résolu,3.0,38.24,Téléphone,Panne compteur,Oui,Oui,Conforme,,Non
APP-10084,12/10/2023,Marie Lefevre,362,Résolu,3.0,16.95,Email,Facturation,Non,Non,Conforme,,Non
APP-10085,03/12/2023,Nicolas Roux,468,Non résolu,4.0,11.44,Chat,Résiliation,Oui,Non,,,Non
APP-10086,26/11/2023,Amandine Faure,110,Non résolu,4.0,20.92,TEL,Demande d'information,Oui,Non,Conforme,,Oui
APP-10087,21/11/2023,Marie Lefevre,347,Résolu,4.0,34.86,TEL,Demande d'information,Oui,Non,Conforme,3.0,Non
APP-10088,13/11/2023,Marie Lefevre,295,Résolu,4.0,11.11,TEL,Résiliation,Oui,Oui,Conforme,8.0,Non
APP-10089,07/09/2023,Amandine Faure,349,Résolu,5.0,,TEL,Résiliation,Oui,Non,Conforme,6.0,Non
APP-10090,09/08/2023,Sophie Nguyen,266,Résolu,5.0,8.19,TEL,Panne compteur,Oui,Non,Conforme,9.0,Non
APP-10091,10/06/2023,Yanis Belkacem,175,Résolu,4.0,13.95,TEL,Souscription contrat,Oui,Non,Non conforme,,Non
APP-10092,24/02/2023,Julien Marchand,407,Résolu,,32.12,telephone,Demande d'information,Oui,Oui,Conforme,10.0,Non
APP-10093,28/06/2023,Thomas Petit,282,Non résolu,3.0,16.3,telephone,Souscription contrat,Oui,Non,Conforme,7.0,Non
APP-10094,10/09/2023,Nicolas Roux,152,Résolu,,20.04,Chat,Demande d'information,Non,Non,Conforme,4.0,Non
APP-10095,05/06/2023,Fatima Zahra,310,Résolu,4.0,35.62,TEL,Réclamation,Oui,Non,Non conforme,,Non
APP-10096,25/08/2023,Yanis Belkacem,326,Non résolu,4.0,32.33,telephone,Demande d'information,Oui,Non,,9.0,Non
APP-10097,25/06/2023,Karim Boudiaf,277,Résolu,4.0,29.03,Chat,Déménagement,Oui,Non,Conforme,9.0,Non
APP-10098,03/11/2023,Marie Lefevre,217,Résolu,2.0,17.81,TEL,Réclamation,Oui,Non,Non conforme,,Non
APP-10099,26/10/2023,Sophie Nguyen,172,Résolu,5.0,17.03,Téléphone,Réclamation,Oui,Non,Conforme,6.0,Non
APP-10100,17/12/2023,Amandine Faure,233,Résolu,1.0,41.01,telephone,Demande d'information,Non,Non,Conforme,6.0,Non
APP-10101,21/02/2023,Amandine Faure,270,Non résolu,1.0,31.35,Chat,Souscription contrat,Oui,Non,Conforme,,Non
APP-10102,26/03/2023,Nicolas Roux,241,Non résolu,,29.35,Email,Résiliation,Oui,Non,Non conforme,10.0,Non
APP-10103,08/07/2023,Yanis Belkacem,370,Résolu,4.0,26.22,telephone,Résiliation,Oui,Oui,Conforme,,Non
APP-10104,11/10/2023,Karim Boudiaf,296,Résolu,2.0,18.39,Email,Litige paiement,Oui,Non,,7.0,Non
APP-10105,28/06/2023,Marie Lefevre,162,Résolu,4.0,8.9,telephone,Facturation,Oui,Oui,Conforme,8.0,Non
APP-10106,20/01/2023,Fatima Zahra,143,Non résolu,5.0,42.8,Chat,Facturation,Non,Oui,Conforme,6.0,Non
APP-10107,08/11/2023,Amandine Faure,283,Résolu,3.0,43.3,Chat,Changement d'offre,Oui,Non,Conforme,10.0,Non
APP-10108,22/10/2023,Julien Marchand,219,Résolu,4.0,8.57,telephone,Panne compteur,Oui,Non,,10.0,Non
APP-10109,17/09/2023,Amandine Faure,304,Résolu,4.0,42.35,Téléphone,Demande d'information,Oui,Non,Conforme,,Non
APP-10110,20/06/2023,Sophie Nguyen,282,Non résolu,3.0,43.65,Email,Changement d'offre,Oui,Non,Conforme,,Non
APP-10111,31/05/2023,Julien Marchand,233,Résolu,,39.56,Chat,Changement d'offre,Oui,Non,Conforme,8.0,Non
APP-10112,02/12/2023,Thomas Petit,163,Résolu,4.0,39.49,Email,Demande d'information,,Non,Conforme,,Non
APP-10113,12/02/2023,Léa Girard,103,Non résolu,5.0,19.73,Téléphone,Demande d'information,Oui,Non,Conforme,9.0,Non
APP-10114,29/06/2023,Nicolas Roux,259,Résolu,,42.64,Téléphone,Panne compteur,Oui,Non,Conforme,,Non
APP-10115,16/01/2023,Sophie Nguyen,127,Résolu,3.0,33.75,TEL,Demande d'information,Oui,Non,Conforme,,Non
APP-10116,10/07/2023,Nicolas Roux,160,Résolu,4.0,30.76,telephone,Panne compteur,Oui,Non,Conforme,,Non
APP-10117,14/05/2023,Nicolas Roux,253,Résolu,,44.63,telephone,Panne compteur,Oui,Non,Conforme,5.0,Non
APP-10118,13/06/2023,Thomas Petit,245,Résolu,4.0,40.46,telephone,Demande d'information,Oui,Oui,Conforme,6.0,Non
APP-10119,14/01/2023,Thomas Petit,137,Non résolu,5.0,35.41,Téléphone,Panne compteur,Oui,Non,Conforme,10.0,Non
APP-10120,22/10/2023,Karim Boudiaf,337,Résolu,4.0,21.3,telephone,Litige paiement,Oui,Non,,9.0,Non
APP-10121,29/01/2023,Karim Boudiaf,334,Résolu,,18.86,Chat,Réclamation,Oui,Non,Conforme,,Non
APP-10122,05/06/2023,Yanis Belkacem,286,Résolu,,40.08,Chat,Déménagement,Oui,Non,Conforme,,Non
APP-10123,25/11/2023,Yanis Belkacem,286,Résolu,5.0,41.79,Chat,Réclamation,Oui,Non,Conforme,,Non
APP-10124,21/08/2023,Karim Boudiaf,286,Résolu,4.0,37.54,telephone,Demande d'information,Non,Non,,8.0,Non
APP-10125,09/07/2023,Amandine Faure,586,Résolu,4.0,32.05,Téléphone,Facturation,Oui,Non,Conforme,8.0,Non
APP-10126,23/03/2023,Thomas Petit,325,Résolu,3.0,40.93,Email,Changement d'offre,Non,Non,Conforme,9.0,Non
APP-10127,04/05/2023,Julien Marchand,298,Résolu,5.0,20.51,Email,Réclamation,Oui,Non,Conforme,,Non
APP-10128,26/07/2023,Thomas Petit,170,Résolu,4.0,29.4,Email,Litige paiement,Oui,Non,Non conforme,,Non
APP-10129,07/03/2023,Karim Boudiaf,218,Résolu,,9.33,telephone,Déménagement,Oui,Non,Conforme,6.0,Non
APP-10130,31/08/2023,Amandine Faure,448,Résolu,4.0,18.6,telephone,Relevé compteur,,Non,Conforme,8.0,Non
APP-10131,30/09/2023,Nicolas Roux,71,Non résolu,4.0,29.86,Email,Déménagement,Oui,Non,Non conforme,,Non
APP-10132,16/05/2023,Yanis Belkacem,197,Résolu,3.0,12.7,Chat,Relevé compteur,Oui,Non,Conforme,,Non
APP-10133,10/01/2023,Nicolas Roux,338,Résolu,4.0,27.32,Email,Facturation,Oui,Non,Conforme,,Non
APP-10134,12/07/2023,Thomas Petit,175,Résolu,5.0,31.05,TEL,Déménagement,Oui,Non,Conforme,8.0,Non
APP-10135,02/06/2023,Fatima Zahra,301,Résolu,4.0,11.16,TEL,Réclamation,Oui,Non,Conforme,,Non
APP-10136,16/03/2023,Fatima Zahra,244,Résolu,,28.0,Email,Résiliation,Oui,Non,,,Non
APP-10137,12/11/2023,Yanis Belkacem,181,Non résolu,3.0,31.58,Téléphone,Relevé compteur,Oui,Non,Conforme,6.0,Non
APP-10138,22/03/2023,Léa Girard,57,Résolu,5.0,37.42,TEL,Demande d'information,Oui,Oui,Conforme,,Non
APP-10139,20/01/2023,Sophie Nguyen,256,Non résolu,1.0,18.02,Email,Souscription contrat,Non,Non,Non conforme,,Oui
APP-10140,18/10/2023,Yanis Belkacem,168,Résolu,,8.94,Email,Souscription contrat,Non,Non,Conforme,6.0,Non
APP-10141,23/08/2023,Fatima Zahra,229,Résolu,4.0,43.62,telephone,Souscription contrat,Oui,Non,Conforme,9.0,Non
APP-10142,25/07/2023,Karim Boudiaf,285,Résolu,3.0,23.13,telephone,Changement d'offre,Oui,Non,Conforme,,Oui
APP-10143,01/12/2023,Thomas Petit,317,Résolu,4.0,14.41,Chat,Réclamation,Oui,Non,,9.0,Non
APP-10144,10/03/2023,Nicolas Roux,197,Résolu,4.0,28.32,Email,Litige paiement,Oui,Non,Conforme,,Non
APP-10145,11/02/2023,Amandine Faure,181,Résolu,5.0,34.44,Chat,Litige paiement,Oui,Non,Conforme,,Non
APP-10146,15/12/2023,Julien Marchand,126,Non résolu,4.0,43.33,telephone,Litige paiement,Oui,Non,Conforme,,Non
APP-10147,12/01/2023,Léa Girard,6440,Résolu,2.0,35.3,Téléphone,Litige paiement,,Non,Conforme,,Non
APP-10148,29/07/2023,Sophie Nguyen,430,,5.0,23.53,Email,Changement d'offre,Non,Non,Conforme,,Non
APP-10149,04/10/2023,Sophie Nguyen,332,Résolu,5.0,17.17,telephone,Facturation,Oui,Non,Conforme,,Non
APP-10150,14/07/2023,Julien Marchand,354,Résolu,,8.53,Téléphone,Facturation,Oui,Non,Conforme,,Oui
APP-10151,16/04/2023,Karim Boudiaf,176,Résolu,5.0,12.29,Téléphone,Relevé compteur,Oui,Non,Conforme,,Non
APP-10152,29/05/2023,Julien Marchand,279,Résolu,5.0,25.54,TEL,Résiliation,Oui,Oui,Conforme,7.0,Non
APP-10153,01/02/2023,Amandine Faure,309,Non résolu,5.0,11.62,Email,Facturation,,Non,Conforme,,Non
APP-10154,02/08/2023,Léa Girard,-51,Non résolu,4.0,14.41,TEL,Souscription contrat,Oui,Non,Conforme,,Non
APP-10155,10/03/2023,Léa Girard,147,Résolu,,24.05,Téléphone,Litige paiement,Oui,Non,Conforme,,Non
APP-10156,07/02/2023,Julien Marchand,386,Résolu,3.0,31.5,TEL,Réclamation,Non,Oui,,,Non
APP-10157,03/09/2023,Julien Marchand,111,Résolu,3.0,9.68,TEL,Relevé compteur,Oui,Non,Conforme,8.0,Non
APP-10158,27/08/2023,Karim Boudiaf,369,Non résolu,4.0,26.62,TEL,Relevé compteur,Oui,Non,Conforme,0.0,Non
APP-10159,27/10/2023,Yanis Belkacem,110,Résolu,3.0,39.69,telephone,Changement d'offre,Oui,Non,Conforme,,Non
APP-10160,25/11/2023,Nicolas Roux,151,Résolu,3.0,10.61,telephone,Litige paiement,,Non,Conforme,,Non
APP-10161,09/12/2023,Marie Lefevre,281,Non résolu,3.0,31.77,Téléphone,Résiliation,Oui,Non,Conforme,,Non
APP-10162,05/09/2023,Nicolas Roux,246,Résolu,1.0,42.79,Chat,Réclamation,Oui,Non,Conforme,,Non
APP-10163,24/02/2023,Karim Boudiaf,205,Résolu,3.0,29.29,Email,Panne compteur,Oui,Non,Conforme,,Non
APP-10164,17/12/2023,Karim Boudiaf,382,Non résolu,2.0,24.96,Chat,Changement d'offre,Oui,Oui,Conforme,10.0,Non
APP-10165,19/06/2023,Yanis Belkacem,128,Non résolu,,28.19,Chat,Changement d'offre,Oui,Non,Conforme,8.0,Non
APP-10166,03/12/2023,Marie Lefevre,226,Résolu,3.0,43.56,Email,Panne compteur,Oui,Non,Conforme,,Non
APP-10167,04/10/2023,Thomas Petit,292,Non résolu,5.0,41.5,TEL,Facturation,Oui,Non,Conforme,,Non
APP-10168,01/11/2023,Léa Girard,265,Résolu,5.0,10.63,telephone,Demande d'information,Oui,Non,Conforme,,Non
APP-10169,13/11/2023,Fatima Zahra,183,Résolu,3.0,19.8,telephone,Relevé compteur,Oui,Oui,Conforme,8.0,Non
APP-10170,19/05/2023,Karim Boudiaf,186,Résolu,5.0,12.37,Téléphone,Panne compteur,Oui,Oui,Conforme,8.0,Non
APP-10171,30/05/2023,Léa Girard,316,Non résolu,,33.78,Chat,Litige paiement,Oui,Non,Conforme,8.0,Non
APP-10172,02/02/2023,Sophie Nguyen,320,Résolu,2.0,35.2,telephone,Changement d'offre,Oui,Non,Conforme,8.0,Non
APP-10173,20/06/2023,Yanis Belkacem,267,Résolu,4.0,37.73,Chat,Souscription contrat,Oui,Non,Conforme,10.0,Non
APP-10174,23/07/2023,Thomas Petit,165,Résolu,5.0,35.77,Email,Réclamation,Oui,Non,Conforme,,Non
APP-10175,07/10/2023,Sophie Nguyen,189,,4.0,37.85,Email,Réclamation,Oui,Oui,Non conforme,,Non
APP-10176,13/03/2023,Fatima Zahra,238,Non résolu,5.0,21.76,Chat,Changement d'offre,Oui,Non,Non conforme,,Non
APP-10177,19/01/2023,Thomas Petit,250,Résolu,,36.73,telephone,Demande d'information,Oui,Non,Conforme,,Non
APP-10178,19/06/2023,Léa Girard,289,Résolu,5.0,39.76,Chat,Résiliation,Oui,Non,Conforme,,Non
APP-10179,26/06/2023,Marie Lefevre,221,Non résolu,2.0,23.87,telephone,Demande d'information,Oui,Non,Conforme,10.0,Non
APP-10180,13/08/2023,Nicolas Roux,314,Non résolu,2.0,11.82,Téléphone,Souscription contrat,Non,Non,Conforme,,Non
APP-10181,07/08/2023,Nicolas Roux,313,Résolu,5.0,41.39,Téléphone,Déménagement,Non,Non,Conforme,0.0,Non
APP-10182,23/05/2023,Karim Boudiaf,357,Résolu,4.0,19.84,Téléphone,Réclamation,Oui,Non,,8.0,Non
APP-10183,20/07/2023,Yanis Belkacem,241,Résolu,3.0,41.13,TEL,Déménagement,Oui,Non,Conforme,7.0,Non
APP-10184,11/07/2023,Sophie Nguyen,269,Résolu,4.0,43.17,Chat,Souscription contrat,Oui,Non,Conforme,8.0,Non
APP-10185,28/01/2023,Thomas Petit,228,Résolu,4.0,29.22,Email,Relevé compteur,Oui,Non,Non conforme,10.0,Non
APP-10186,16/01/2023,Julien Marchand,166,Résolu,3.0,18.85,Email,Litige paiement,Oui,Non,Conforme,10.0,Non
APP-10187,05/10/2023,Marie Lefevre,428,Résolu,4.0,20.16,telephone,Réclamation,Non,Oui,Conforme,,Non
APP-10188,02/03/2023,Julien Marchand,344,Résolu,5.0,37.29,Email,Souscription contrat,Oui,Non,Non conforme,,Non
APP-10189,30/09/2023,Fatima Zahra,311,,4.0,37.22,Chat,Panne compteur,Oui,Non,Conforme,3.0,Non
APP-10190,02/12/2023,Sophie Nguyen,238,Résolu,4.0,10.13,Email,Changement d'offre,Oui,Non,Conforme,9.0,Non
APP-10191,17/02/2023,Léa Girard,159,Non résolu,4.0,28.33,TEL,Déménagement,Oui,Non,Conforme,,Non
APP-10192,07/12/2023,Thomas Petit,327,Résolu,,20.98,Email,Réclamation,Oui,Non,Conforme,6.0,Non
APP-10193,25/06/2023,Marie Lefevre,226,Non résolu,1.0,12.33,telephone,Changement d'offre,Oui,Non,Conforme,,Non
APP-10194,29/11/2023,Fatima Zahra,277,Résolu,5.0,30.87,TEL,Souscription contrat,Oui,Non,Conforme,,Non
APP-10195,16/02/2023,Karim Boudiaf,-189,Résolu,3.0,11.74,Téléphone,Facturation,Oui,Non,,9.0,Non
APP-10196,06/02/2023,Julien Marchand,262,Résolu,4.0,10.69,telephone,Relevé compteur,Oui,Non,Conforme,,Non
APP-10197,29/09/2023,Yanis Belkacem,-194,Résolu,5.0,38.41,telephone,Relevé compteur,Oui,Non,Conforme,,Non
APP-10198,05/03/2023,Yanis Belkacem,197,Résolu,5.0,11.14,Téléphone,Résiliation,Oui,Non,Conforme,,Non
APP-10199,04/12/2023,Fatima Zahra,260,Résolu,4.0,44.51,telephone,Changement d'offre,Oui,Non,Conforme,4.0,Non
APP-10200,07/01/2023,Thomas Petit,109,Non résolu,5.0,38.07,telephone,Changement d'offre,Non,Non,Conforme,4.0,Non
APP-10201,21/01/2023,Marie Lefevre,113,Résolu,5.0,43.05,Email,Relevé compteur,Oui,Non,Conforme,8.0,Non
APP-10202,19/09/2023,Julien Marchand,175,Résolu,5.0,36.75,Téléphone,Réclamation,Oui,Non,Non conforme,3.0,Non
APP-10203,11/08/2023,Karim Boudiaf,220,Résolu,5.0,28.66,Téléphone,Facturation,Oui,Non,Conforme,,Non
APP-10204,13/05/2023,Sophie Nguyen,317,Non résolu,5.0,12.11,Téléphone,Demande d'information,Oui,Non,Conforme,,Non
APP-10205,09/02/2023,Nicolas Roux,225,Résolu,5.0,26.23,TEL,Panne compteur,Non,Non,Conforme,,Oui
APP-10206,07/01/2023,Julien Marchand,238,Non résolu,3.0,10.08,Téléphone,Litige paiement,Oui,Non,Conforme,7.0,Non
APP-10207,13/06/2023,Fatima Zahra,214,Résolu,5.0,12.4,telephone,Litige paiement,,Non,Conforme,10.0,Non
APP-10208,09/06/2023,Thomas Petit,269,Résolu,4.0,35.6,Chat,Résiliation,Oui,Non,Conforme,,Non
APP-10209,07/10/2023,Julien Marchand,165,Résolu,5.0,29.58,Téléphone,Demande d'information,Oui,Non,Non conforme,,Non
APP-10210,29/09/2023,Julien Marchand,230,,3.0,18.57,Téléphone,Résiliation,Non,Non,Conforme,9.0,Non
APP-10211,13/02/2023,Yanis Belkacem,276,Non résolu,2.0,40.14,Email,Souscription contrat,Oui,Non,Conforme,,Non
